fecha,y,tiendas,m2
2022-02-11,8874607.77,2273,993745.25
2022-02-12,9352225.04,2265,992677.17
2022-02-13,1759155.77,656,254798.39
2022-02-14,8407248.23,2246,983670.76
2022-02-15,7909889.06,2253,986929.85
2022-02-16,7761688.07,2265,989267.76
2022-02-17,7744270.47,2262,987948.04
2022-02-18,8907896.41,2274,996219.05
2022-02-19,9544407.95,2273,997532.0
2022-02-20,1748285.02,664,257438.92
2022-02-21,8638528.73,2270,994265.87
2022-02-22,8009818.25,2271,995536.96
2022-02-23,7849829.79,2273,996858.59
2022-02-24,8295596.57,2270,995526.24
2022-02-25,9813277.43,2269,994403.61
2022-02-26,10059727.78,2269,995208.01
2022-02-27,2053914.47,822,341922.84
2022-02-28,6776064.04,1806,759564.42
2022-03-01,8616928.18,2160,944461.25
2022-03-02,8590437.01,2247,980249.99
2022-03-03,8363013.2,2255,983876.4
2022-03-04,9657145.46,2270,994824.31
2022-03-05,10027697.72,2271,996299.77
2022-03-06,1877359.64,656,255486.3
2022-03-07,9200569.71,2205,964250.64
2022-03-08,8747874.29,2252,986239.27
2022-03-09,8745061.82,2267,989066.43
2022-03-10,9207318.16,2262,986729.0
2022-03-11,11028594.94,2276,996171.12
2022-03-12,11112536.41,2274,997152.93
2022-03-13,1903763.49,664,258749.5
2022-03-14,9060598.76,2250,984958.43
2022-03-15,8131346.61,2255,987402.95
2022-03-16,7632004.57,2266,989158.88
2022-03-17,9517527.91,2262,985942.31
2022-03-18,10018688.66,2277,995909.12
2022-03-19,8221968.12,2226,977608.58
2022-03-20,1699407.45,649,254440.45
2022-03-21,8220015.11,2248,984479.88
2022-03-22,7962751.46,2258,988542.6
2022-03-23,7929390.18,2264,990222.74
2022-03-24,7530370.17,2256,988217.83
2022-03-25,8260283.64,2262,990825.2
2022-03-26,8242692.26,2274,996938.25
2022-03-27,1440985.43,655,254247.75
2022-03-28,7607929.36,2254,987501.72
2022-03-29,7282478.73,2268,992548.81
2022-03-30,7267899.31,2274,993316.44
2022-03-31,7790318.64,2278,993897.41
2022-04-01,8771753.71,2279,997195.02
2022-04-02,8919421.8,2273,996810.15
2022-04-03,1684872.53,667,258576.21
2022-04-04,8278782.24,2247,983409.45
2022-04-05,7642185.95,2256,984778.71
2022-04-06,7853858.32,2265,987632.25
